,std_dt,symbol,kospi100
0,20000104,A000010,N
1,20010102,A000010,Y
2,20011227,A000010,N
3,20020102,A000010,Y
4,20040331,A000010,N
5,20000104,A000020,N
6,20000104,A000030,N
7,20141119,A000030,N
8,20141120,A000030,Y
9,20000104,A000040,N
10,20000104,A000050,N
11,20000104,A000060,N
12,20000104,A000070,N
13,20010102,A000070,Y
14,20011227,A000070,N
15,20020102,A000070,Y
16,20041210,A000070,N
17,20041221,A000070,Y
18,20080613,A000070,N
19,20000104,A000080,N
20,20091019,A000080,N
21,20201211,A000080,Y
22,20000104,A000100,N
23,20010102,A000100,Y
24,20011227,A000100,N
25,20020102,A000100,Y
26,20000104,A000110,N
27,20000104,A000120,N
28,20090612,A000120,Y
29,20000104,A000140,N
30,20010102,A000140,Y
31,20011227,A000140,N
32,20020102,A000140,Y
33,20100611,A000140,N
34,20000104,A000150,N
35,20010102,A000150,Y
36,20011227,A000150,N
37,20020102,A000150,Y
38,20050610,A000150,N
39,20080613,A000150,Y
40,20200612,A000150,N
41,20000104,A000180,N
42,20000104,A000200,N
43,20000104,A000210,N
44,20010102,A000210,Y
45,20011227,A000210,N
46,20020102,A000210,Y
47,20000104,A000220,N
48,20000104,A000230,N
49,20000104,A000240,N
50,20010102,A000240,Y
51,20011227,A000240,N
52,20020102,A000240,Y
53,20130614,A000240,N
54,20001004,A000250,N
55,20000104,A000270,N
56,20010102,A000270,Y
57,20011227,A000270,N
58,20020102,A000270,Y
59,20000104,A000280,N
60,20000104,A000300,N
61,20000104,A000310,N
62,20000104,A000320,N
63,20000104,A000360,N
64,20000104,A000370,N
65,20000104,A000380,N
66,20000104,A000390,N
67,20000104,A000400,N
68,20000104,A000420,N
69,20000104,A000430,N
70,20000104,A000440,N
71,20000104,A000470,N
72,20000104,A000480,N
73,20000104,A000490,N
74,20000104,A000500,N
75,20000104,A000520,N
76,20000104,A000540,N
77,20000104,A000590,N
78,20000104,A000610,N
79,20000104,A000640,N
80,20010615,A000640,Y
81,20011227,A000640,N
82,20020102,A000640,Y
83,20040611,A000640,N
84,20000104,A000650,N
85,20000104,A000660,N
86,20010102,A000660,Y
87,20011227,A000660,N
88,20020102,A000660,Y
89,20000104,A000670,N
90,20160316,A000670,Y
91,20190614,A000670,N
92,20000104,A000680,N
93,20000104,A000700,N
94,20010102,A000700,Y
95,20011227,A000700,N
96,20020102,A000700,Y
97,20100611,A000700,N
98,20000104,A000720,N
99,20010102,A000720,Y
100,20010402,A000720,N
101,20020614,A000720,Y
102,20000104,A000760,N
103,20000104,A000810,N
104,20010102,A000810,Y
105,20011227,A000810,N
106,20020102,A000810,Y
107,20000104,A000830,N
108,20010102,A000830,Y
109,20011227,A000830,N
110,20020102,A000830,Y
111,20150901,A000830,N
112,20000104,A000840,N
113,20000104,A000850,N
114,20000104,A000860,N
115,20000104,A000880,N
116,20010102,A000880,Y
117,20011227,A000880,N
118,20020102,A000880,Y
119,20000104,A000890,N
120,20000104,A000900,N
121,20000104,A000910,N
122,20000104,A000950,N
123,20000104,A000970,N
124,20000104,A000990,N
125,20000104,A001000,N
126,20000104,A001020,N
127,20000104,A001030,N
128,20000104,A001040,N
129,20010102,A001040,Y
130,20011227,A001040,N
131,20020102,A001040,Y
132,20000104,A001060,N
133,20000104,A001070,N
134,20000104,A001080,N
135,20000104,A001120,N
136,20030613,A001120,Y
137,20150612,A001120,N
138,20000104,A001130,N
139,20000104,A001140,N
140,20000104,A001150,N
141,20000104,A001190,N
142,20000104,A001200,N
143,20000104,A001210,N
144,20000104,A001230,N
145,20010102,A001230,Y
146,20011227,A001230,N
147,20020102,A001230,Y
148,20030423,A001230,N
149,20050610,A001230,Y
150,20140613,A001230,N
151,20000104,A001250,N
152,20000104,A001260,N
153,20000104,A001270,N
154,20000104,A001280,N
155,20000104,A001290,N
156,20000104,A001300,N
157,20010102,A001300,Y
158,20011227,A001300,N
159,20020102,A001300,Y
160,20140627,A001300,N
161,20000104,A001340,N
162,20000104,A001350,N
163,20000104,A001360,N
164,20000104,A001370,N
165,20000104,A001380,N
166,20000104,A001390,N
167,20000104,A001400,N
168,20000104,A001420,N
169,20000104,A001430,N
170,20000104,A001440,N
171,20010102,A001440,Y
172,20011227,A001440,N
173,20020102,A001440,Y
174,20110610,A001440,N
175,20000104,A001450,N
176,20170609,A001450,Y
177,20000104,A001460,N
178,20000104,A001470,N
179,20000104,A001500,N
180,20000104,A001510,N
181,20010102,A001510,Y
182,20011227,A001510,N
183,20020102,A001510,Y
184,20030613,A001510,N
185,20000104,A001520,N
186,20000104,A001530,N
187,20000615,A001540,N
188,20000104,A001550,N
189,20051209,A001560,N
190,20000104,A001570,N
191,20000104,A001580,N
192,20000104,A001600,N
193,20000104,A001620,N
194,20000104,A001630,N
195,20000104,A001670,N
196,20000104,A001680,N
197,20010102,A001680,Y
198,20011227,A001680,N
199,20020102,A001680,Y
200,20040611,A001680,N
201,20000104,A001690,N
202,20000104,A001720,N
203,20000104,A001740,N
204,20010102,A001740,Y
205,20011227,A001740,N
206,20020102,A001740,Y
207,20030401,A001740,N
208,20060609,A001740,Y
209,20170915,A001740,N
210,20000104,A001750,N
211,20000104,A001770,N
212,20000104,A001780,N
213,20070607,A001780,N
214,20000104,A001790,N
215,20000104,A001800,N
216,20011109,A001800,Y
217,20011227,A001800,N
218,20020102,A001800,Y
219,20180615,A001800,N
220,20000104,A001810,N
221,20000104,A001820,N
222,20000104,A001830,N
223,20010102,A001830,Y
224,20011227,A001830,N
225,20020102,A001830,Y
226,20060609,A001830,N
227,20000104,A001840,N
228,20000104,A001880,N
229,20000104,A001920,N
230,20000104,A001940,N
231,20000104,A001950,N
232,20000104,A001980,N
233,20000104,A002000,N
234,20010102,A002000,Y
235,20011227,A002000,N
236,20020102,A002000,Y
237,20050401,A002000,N
238,20000104,A002020,N
239,20010102,A002020,Y
240,20011227,A002020,N
241,20020102,A002020,Y
242,20020614,A002020,N
243,20030423,A002020,Y
244,20040611,A002020,N
245,20000104,A002030,N
246,20000104,A002050,N
247,20000104,A002070,N
248,20000104,A002080,N
249,20000104,A002100,N
250,20000104,A002130,N
251,20000104,A002140,N
252,20100812,A002150,N
253,20000104,A002170,N
254,20000104,A002180,N
255,20000104,A002200,N
256,20000104,A002210,N
257,20000104,A002220,N
258,20000104,A002230,N
259,20000104,A002240,N
260,20000104,A002250,N
261,20000104,A002270,N
262,20000104,A002290,N
263,20000104,A002300,N
264,20000104,A002310,N
265,20000104,A002320,N
266,20000104,A002350,N
267,20000104,A002360,N
268,20000104,A002380,N
269,20010102,A002380,Y
270,20011227,A002380,N
271,20020102,A002380,Y
272,20200911,A002380,N
273,20000104,A002390,N
274,20000104,A002410,N
275,20000104,A002420,N
276,20000104,A002450,N
277,20000104,A002460,N
278,20000104,A002530,N
279,20000104,A002540,N
280,20000104,A002550,N
281,20000104,A002600,N
282,20000104,A002610,N
283,20010102,A002610,Y
284,20011227,A002610,N
285,20020102,A002610,Y
286,20030227,A002610,N
287,20000104,A002620,N
288,20000104,A002630,N
289,20000104,A002670,N
290,20000104,A002680,N
291,20150924,A002690,N
292,20000104,A002700,N
293,20000104,A002710,N
294,20000104,A002720,N
295,20000104,A002740,N
296,20010102,A002740,Y
297,20010416,A002740,N
298,20000104,A002760,N
299,20000104,A002780,N
300,20000104,A002790,N
301,20010102,A002790,Y
302,20011227,A002790,N
303,20020102,A002790,Y
304,20170228,A002800,N
305,20000104,A002810,N
306,20000104,A002820,N
307,20000104,A002840,N
308,20000104,A002850,N
309,20000104,A002860,N
310,20021216,A002860,Y
311,20051212,A002860,N
312,20000104,A002870,N
313,20000104,A002880,N
314,20000104,A002900,N
315,20000104,A002920,N
316,20000104,A002930,N
317,20000104,A002940,N
318,20000104,A002950,N
319,20000104,A002960,N
320,20000104,A002990,N
321,20010102,A002990,Y
322,20011227,A002990,N
323,20020102,A002990,Y
324,20020614,A002990,N
325,20000104,A003000,N
326,20020130,A003000,Y
327,20040611,A003000,N
328,20000104,A003010,N
329,20000104,A003020,N
330,20000104,A003030,N
331,20000104,A003040,N
332,20000104,A003050,N
333,20000104,A003060,N
334,20000104,A003070,N
335,20000104,A003080,N
336,20000104,A003090,N
337,20000104,A003100,N
338,20000104,A003110,N
339,20000104,A003120,N
340,20000104,A003160,N
341,20000104,A003190,N
342,20000104,A003200,N
343,20000104,A003220,N
344,20000104,A003230,N
345,20000104,A003240,N
346,20000104,A003280,N
347,20000104,A003300,N
348,20010102,A003300,Y
349,20011227,A003300,N
350,20020102,A003300,Y
351,20090612,A003300,N
352,20000104,A003310,N
353,20000104,A003320,N
354,20000104,A003330,N
355,20000104,A003350,N
356,20000104,A003380,N
357,20170630,A003380,N
358,20000104,A003410,N
359,20010102,A003410,Y
360,20010402,A003410,N
361,20190614,A003410,Y
362,20000104,A003430,N
363,20000104,A003450,N
364,20010102,A003450,Y
365,20011227,A003450,N
366,20020102,A003450,Y
367,20150313,A003450,N
368,20000104,A003460,N
369,20000104,A003470,N
370,20000104,A003480,N
371,20010102,A003480,Y
372,20011227,A003480,N
373,20020102,A003480,Y
374,20090612,A003480,N
375,20000104,A003490,N
376,20010102,A003490,Y
377,20011227,A003490,N
378,20020102,A003490,Y
379,20000104,A003520,N
380,20000104,A003530,N
381,20000104,A003540,N
382,20010615,A003540,Y
383,20011227,A003540,N
384,20020102,A003540,Y
385,20060609,A003540,N
386,20000104,A003550,N
387,20010102,A003550,Y
388,20011227,A003550,N
389,20020102,A003550,Y
390,20060609,A003550,N
391,20080613,A003550,Y
392,20000104,A003560,N
393,20000104,A003570,N
394,20000104,A003580,N
395,20000104,A003590,N
396,20000104,A003600,N
397,20010102,A003600,Y
398,20011227,A003600,N
399,20020102,A003600,Y
400,20150803,A003600,N
401,20000104,A003610,N
402,20000104,A003620,N
403,20030613,A003620,Y
404,20080613,A003620,N
405,20000104,A003640,N
406,20000104,A003650,N
407,20000104,A003660,N
408,20011101,A003670,N
409,20200612,A003670,Y
410,20000104,A003680,N
411,20000104,A003690,N
412,20050610,A003690,Y
413,20090612,A003690,N
414,20000104,A003720,N
415,20000104,A003780,N
416,20000104,A003800,N
417,20000104,A003810,N
418,20000104,A003830,N
419,20000104,A003850,N
420,20000104,A003900,N
421,20000104,A003920,N
422,20000104,A003930,N
423,20000104,A003940,N
424,20000104,A003960,N
425,20000104,A003990,N
426,20000104,A004000,N
427,20010102,A004000,Y
428,20011227,A004000,N
429,20020102,A004000,Y
430,20150612,A004000,N
431,20000104,A004010,N
432,20030613,A004010,Y
433,20040611,A004010,N
434,20000104,A004020,N
435,20010102,A004020,Y
436,20011227,A004020,N
437,20020102,A004020,Y
438,20000104,A004060,N
439,20000104,A004080,N
440,20000104,A004090,N
441,20000104,A004100,N
442,20000104,A004110,N
443,20000104,A004130,N
444,20010402,A004130,Y
445,20010615,A004130,N
446,20000104,A004140,N
447,20000104,A004150,N
448,20010102,A004150,Y
449,20011227,A004150,N
450,20020102,A004150,Y
451,20080613,A004150,N
452,20000104,A004170,N
453,20010102,A004170,Y
454,20011227,A004170,N
455,20020102,A004170,Y
456,20000104,A004190,N
457,20000104,A004200,N
458,20000104,A004230,N
459,20000104,A004250,N
460,20000104,A004270,N
461,20000104,A004290,N
462,20000104,A004310,N
463,20000104,A004320,N
464,20000104,A004360,N
465,20000104,A004370,N
466,20010102,A004370,Y
467,20011227,A004370,N
468,20020102,A004370,Y
469,20000104,A004380,N
470,20000104,A004390,N
471,20010102,A004390,Y
472,20010402,A004390,N
473,20000104,A004410,N
474,20000104,A004430,N
475,20160330,A004440,N
476,20000104,A004450,N
477,20000104,A004460,N
478,20000104,A004490,N
479,20000104,A004510,N
480,20000104,A004530,N
481,20000104,A004540,N
482,20000104,A004550,N
483,20000104,A004560,N
484,20000104,A004590,N
485,20000104,A004620,N
486,20140730,A004650,N
487,20000104,A004660,N
488,20000104,A004690,N
489,20000104,A004700,N
490,20000104,A004710,N
491,20000104,A004720,N
492,20000104,A004730,N
493,20000104,A004740,N
494,20000104,A004770,N
495,20000104,A004780,N
496,20000104,A004790,N
497,20000104,A004800,N
498,20010102,A004800,Y
499,20011227,A004800,N
500,20020102,A004800,Y
501,20190614,A004800,N
502,20000104,A004820,N
503,20000104,A004830,N
504,20000104,A004840,N
505,20000104,A004870,N
506,20050630,A004890,N
507,20000104,A004910,N
508,20000104,A004920,N
509,20000104,A004940,N
510,20010102,A004940,Y
511,20011227,A004940,N
512,20020102,A004940,Y
513,20130424,A004940,N
514,20000104,A004960,N
515,20000104,A004970,N
516,20000104,A004980,N
517,20040331,A004980,Y
518,20060609,A004980,N
519,20000104,A004990,N
520,20040611,A004990,Y
521,20000104,A005010,N
522,20000104,A005030,N
523,20000104,A005060,N
524,20000104,A005070,N
525,20000104,A005090,N
526,20000104,A005110,N
527,20000104,A005160,N
528,20000104,A005180,N
529,20000104,A005190,N
530,20000104,A005250,N
531,20010102,A005250,Y
532,20011227,A005250,N
533,20020102,A005250,Y
534,20020614,A005250,N
535,20000104,A005270,N
536,20040611,A005270,Y
537,20000104,A005280,N
538,20030613,A005280,Y
539,20000104,A005290,N
540,20000104,A005300,N
541,20040611,A005300,Y
542,20180615,A005300,N
543,20000104,A005320,N
544,20000104,A005330,N
545,20000104,A005350,N
546,20000104,A005360,N
547,20000104,A005380,N
548,20010102,A005380,Y
549,20011227,A005380,N
550,20020102,A005380,Y
551,20000104,A005390,N
552,20000104,A005410,N
553,20000104,A005420,N
554,20000104,A005430,N
555,20000104,A005440,N
556,20020614,A005440,Y
557,20030613,A005440,N
558,20000104,A005450,N
559,20000104,A005490,N
560,20010102,A005490,Y
561,20011227,A005490,N
562,20020102,A005490,Y
563,20000104,A005500,N
564,20011029,A005500,Y
565,20011227,A005500,N
566,20020102,A005500,Y
567,20030613,A005500,N
568,20000104,A005560,N
569,20071112,A005560,N
570,20000104,A005580,N
571,20000104,A005600,N
572,20000104,A005610,N
573,20161221,A005610,Y
574,20170609,A005610,N
575,20000104,A005620,N
576,20000104,A005670,N
577,20000104,A005680,N
578,20010102,A005680,Y
579,20010615,A005680,N
580,20000104,A005690,N
581,20000104,A005710,N
582,20000104,A005720,N
583,20000104,A005740,N
584,20000104,A005750,N
585,20000104,A005760,N
586,20000104,A005770,N
587,20000104,A005790,N
588,20000104,A005800,N
589,20000104,A005810,N
590,20010102,A005810,Y
591,20011227,A005810,N
592,20020102,A005810,Y
593,20090313,A005810,N
594,20000104,A005820,N
595,20000104,A005830,N
596,20140613,A005830,Y
597,20000104,A005850,N
598,20000104,A005860,N
599,20000104,A005870,N
600,20000104,A005880,N
601,20000104,A005890,N
602,20010102,A005890,Y
603,20010615,A005890,N
604,20000104,A005930,N
605,20010102,A005930,Y
606,20011227,A005930,N
607,20020102,A005930,Y
608,20000104,A005940,N
609,20010102,A005940,Y
610,20011227,A005940,N
611,20020102,A005940,Y
612,20000104,A005950,N
613,20010102,A005950,Y
614,20011227,A005950,N
615,20020102,A005950,Y
616,20020614,A005950,N
617,20030401,A005950,Y
618,20040611,A005950,N
619,20000104,A005960,N
620,20000104,A005980,N
621,20000104,A005990,N
622,20000104,A006000,N
623,20000104,A006040,N
624,20000104,A006050,N
625,20000104,A006060,N
626,20000104,A006070,N
627,20000104,A006090,N
628,20000104,A006110,N
629,20000104,A006120,N
630,20010330,A006120,Y
631,20011227,A006120,N
632,20020102,A006120,Y
633,20040611,A006120,N
634,20000104,A006140,N
635,20000104,A006150,N
636,20000104,A006160,N
637,20000104,A006200,N
638,20030613,A006200,Y
639,20050610,A006200,N
640,20000104,A006210,N
641,20000104,A006220,N
642,20000104,A006250,N
643,20000104,A006260,N
644,20010102,A006260,Y
645,20011227,A006260,N
646,20020102,A006260,Y
647,20160610,A006260,N
648,20000104,A006280,N
649,20000104,A006290,N
650,20000104,A006300,N
651,20000104,A006340,N
652,20000104,A006350,N
653,20000104,A006360,N
654,20010102,A006360,Y
655,20011227,A006360,N
656,20020102,A006360,Y
657,20140613,A006360,N
658,20190614,A006360,Y
659,20000104,A006370,N
660,20000104,A006380,N
661,20000104,A006390,N
662,20000104,A006400,N
663,20010102,A006400,Y
664,20011227,A006400,N
665,20020102,A006400,Y
666,20000104,A006490,N
667,20000104,A006570,N
668,20000104,A006580,N
669,20000104,A006600,N
670,20000104,A006610,N
671,20180213,A006620,N
672,20000104,A006650,N
673,20000104,A006660,N
674,20000104,A006730,N
675,20000104,A006740,N
676,20000104,A006750,N
677,20000104,A006800,N
678,20010102,A006800,Y
679,20011227,A006800,N
680,20020102,A006800,Y
681,20000104,A006840,N
682,20131121,A006880,N
683,20000104,A006890,N
684,20000104,A006910,N
685,20000104,A006920,N
686,20000104,A006980,N
687,20000104,A007050,N
688,20111223,A007070,N
689,20160610,A007070,Y
690,20000104,A007090,N
691,20000104,A007100,N
692,20000104,A007110,N
693,20000104,A007120,N
694,20000104,A007160,N
695,20000104,A007190,N
696,20000104,A007200,N
697,20000104,A007210,N
698,20000104,A007280,N
699,20000104,A007310,N
700,20160610,A007310,Y
701,20000104,A007330,N
702,20000104,A007340,N
703,20000104,A007360,N
704,20010102,A007360,Y
705,20011227,A007360,N
706,20020102,A007360,Y
707,20021213,A007360,N
708,20000727,A007370,N
709,20000104,A007390,N
710,20000104,A007410,N
711,20000104,A007420,N
712,20000104,A007460,N
713,20000104,A007480,N
714,20000104,A007490,N
715,20000104,A007530,N
716,20000104,A007540,N
717,20000104,A007570,N
718,20000104,A007590,N
719,20000104,A007610,N
720,20000104,A007630,N
721,20010402,A007630,Y
722,20010921,A007630,N
723,20000822,A007660,N
724,20171201,A007680,N
725,20000104,A007690,N
726,20010921,A007690,Y
727,20011227,A007690,N
728,20020102,A007690,Y
729,20020614,A007690,N
730,20000104,A007700,N
731,20000104,A007720,N
732,20000104,A007770,N
733,20000104,A007800,N
734,20000104,A007810,N
735,20111108,A007820,N
736,20000104,A007830,N
737,20000104,A007840,N
738,20000104,A007860,N
739,20000104,A007910,N
740,20000104,A007980,N
741,20000104,A008000,N
742,20000104,A008020,N
743,20000404,A008030,N
744,20000104,A008040,N
745,20000104,A008060,N
746,20010102,A008060,Y
747,20011227,A008060,N
748,20020102,A008060,Y
749,20070615,A008060,N
750,20000104,A008080,N
751,20000104,A008110,N
752,20000104,A008250,N
753,20000104,A008260,N
754,20000104,A008270,N
755,20000104,A008290,N
756,20000104,A008320,N
757,20000104,A008350,N
758,20000104,A008370,N
759,20000104,A008400,N
760,20000104,A008420,N
761,20000104,A008440,N
762,20110223,A008470,N
763,20000104,A008480,N
764,20000104,A008490,N
765,20000104,A008500,N
766,20000104,A008530,N
767,20000104,A008540,N
768,20000104,A008560,N
769,20000104,A008600,N
770,20000104,A008640,N
771,20000104,A008670,N
772,20010102,A008670,Y
773,20011227,A008670,N
774,20020102,A008670,Y
775,20041221,A008670,N
776,20000104,A008700,N
777,20000104,A008720,N
778,20000104,A008730,N
779,20000104,A008750,N
780,20000104,A008770,N
781,20150612,A008770,Y
782,20000104,A008780,N
783,20000104,A008800,N
784,20000104,A008830,N
785,20000104,A008870,N
786,20000104,A008900,N
787,20000104,A008920,N
788,20000104,A008930,N
789,20160610,A008930,Y
790,20000104,A008970,N
791,20000104,A008980,N
792,20000104,A008990,N
793,20000104,A009010,N
794,20000104,A009050,N
795,20010102,A009050,Y
796,20010330,A009050,N
797,20000104,A009070,N
798,20000104,A009080,N
799,20000104,A009140,N
800,20000104,A009150,N
801,20010102,A009150,Y
802,20011227,A009150,N
803,20020102,A009150,Y
804,20000104,A009160,N
805,20000104,A009180,N
806,20010102,A009180,Y
807,20010615,A009180,N
808,20000104,A009190,N
809,20000104,A009200,N
810,20000104,A009220,N
811,20020716,A009240,N
812,20150803,A009240,Y
813,20000104,A009270,N
814,20000104,A009290,N
815,20000719,A009300,N
816,20000104,A009310,N
817,20000104,A009320,N
818,20000104,A009330,N
819,20000104,A009360,N
820,20000104,A009380,N
821,20000104,A009410,N
822,20000104,A009420,N
823,20000104,A009440,N
824,20000104,A009450,N
825,20000104,A009460,N
826,20000104,A009470,N
827,20000104,A009520,N
828,20000104,A009540,N
829,20010102,A009540,Y
830,20011227,A009540,N
831,20020102,A009540,Y
832,20000104,A009580,N
833,20000104,A009620,N
834,20000104,A009680,N
835,20000104,A009690,N
836,20000104,A009720,N
837,20010102,A009720,Y
838,20011227,A009720,N
839,20020102,A009720,Y
840,20060609,A009720,N
841,20000104,A009730,N
842,20000104,A009760,N
843,20061017,A009770,N
844,20000104,A009780,N
845,20000104,A009810,N
846,20000104,A009830,N
847,20010102,A009830,Y
848,20011227,A009830,N
849,20020102,A009830,Y
850,20000104,A009840,N
851,20000104,A009890,N
852,20201207,A009900,N
853,20000104,A009940,N
854,20000104,A009970,N
855,20000104,A010040,N
856,20000104,A010050,N
857,20000104,A010060,N
858,20010615,A010060,Y
859,20011227,A010060,N
860,20020102,A010060,Y
861,20200612,A010060,N
862,20000104,A010100,N
863,20000104,A010110,N
864,20000104,A010120,N
865,20010102,A010120,Y
866,20011227,A010120,N
867,20020102,A010120,Y
868,20160610,A010120,N
869,20000104,A010130,N
870,20010102,A010130,Y
871,20011227,A010130,N
872,20020102,A010130,Y
873,20000104,A010140,N
874,20010102,A010140,Y
875,20011227,A010140,N
876,20020102,A010140,Y
877,20000104,A010170,N
878,20000104,A010200,N
879,20090512,A010240,N
880,20000414,A010280,N
881,20000104,A010330,N
882,20180914,A010400,N
883,20000104,A010420,N
884,20000104,A010460,N
885,20001024,A010470,N
886,20000104,A010510,N
887,20000104,A010520,N
888,20010102,A010520,Y
889,20011227,A010520,N
890,20020102,A010520,Y
891,20150313,A010520,N
892,20000104,A010580,N
893,20000104,A010600,N
894,20000104,A010620,N
895,20010102,A010620,Y
896,20011227,A010620,N
897,20020102,A010620,Y
898,20020913,A010620,N
899,20030227,A010620,Y
900,20030613,A010620,N
901,20050610,A010620,Y
902,20160610,A010620,N
903,20000104,A010640,N
904,20000104,A010660,N
905,20000104,A010670,N
906,20000104,A010690,N
907,20000104,A010730,N
908,20000104,A010770,N
909,20000104,A010780,N
910,20000104,A010810,N
911,20000104,A010820,N
912,20000104,A010950,N
913,20010102,A010950,Y
914,20011227,A010950,N
915,20020102,A010950,Y
916,20020715,A010960,N
917,20000104,A011000,N
918,20000104,A011020,N
919,20000104,A011040,N
920,20000104,A011050,N
921,20080724,A011070,N
922,20110610,A011070,Y
923,20040702,A011080,N
924,20000104,A011090,N
925,20000104,A011150,N
926,20000104,A011160,N
927,20010102,A011160,Y
928,20010305,A011160,N
929,20000104,A011170,N
930,20010102,A011170,Y
